,species
0,Abies concolor
251,Abies nordmanniana
410,Acer campestre
554,Acer ginnala
705,Acer griseum
831,Acer palmatum
1043,Acer platanoides
1183,Acer pseudoplatanus
1318,Acer rubrum
1615,Acer saccharinum
1802,Acer saccharum
1985,Aesculus flava
2116,Aesculus glabra
2280,Aesculus hippocastamon
2419,Aesculus pavi
2644,Ailanthus altissima
2764,Amelanchier canadensis
2919,Asimina triloba
3168,Betula jacqemontii
3310,Betula lenta
3441,Betula nigra
3581,Betula populifolia
3727,Broussonettia papyrifera
4021,Carpinus betulus
4156,Carya cordiformis
4356,Carya ovata
4511,Carya tomentosa
4684,Castanea dentata
4845,Catalpa speciosa
5037,Cedrus atlantica
5196,Cedrus deodara
5316,Cedrus libani
5483,Celtis occidentalis
5616,Cercidiphyllum japonicum
5758,Cercis canadensis
5974,Chamaecyparis pisifera
6146,Chionanthus retusus
6289,Cladrastis lutea
6459,Cornus florida
6634,Cornus kousa
6769,Cornus mas
6933,Corylus colurna
7017,Crataegus crus-galli
7133,Crataegus laevigata
7276,Crataegus phaenopyrum
7418,Cryptomeria japonica
7630,Diospyros virginiana
7878,Eucommia ulmoides
8069,Evodia daniellii
8184,Fagus grandifolia
8338,Fraxinus americana
8441,Fraxinus nigra
8646,Fraxinus pennsylvanica
8781,Ginkgo biloba
8922,Gleditsia triacanthos
9120,Halesia tetraptera
9264,Ilex opaca
9508,Juglans nigra
9671,Juniperus virginiana
9784,Koelreuteria paniculata
9978,Larix decidua
10128,Liquidambar styraciflua
10294,Maclura pomifera
10742,Magnolia acuminata
10890,Magnolia denudata
11070,Magnolia grandiflora
11205,Magnolia soulangiana
11261,Magnolia stellata
11428,Magnolia virginiana
11606,Malus baccata
11761,Malus floribunda
11912,Malus hupehensis
12064,Metasequoia glyptostroboides
12236,Morus alba
12378,Morus rubra
12517,Nyssa sylvatica
12681,Oxydendrum arboreum
12848,Paulownia tomentosa
12990,Phellodendron amurense
13137,Picea abies
13305,Picea orientalis
13469,Picea pungens
13638,Pinus bungeana
13812,Pinus cembra
13991,Pinus densiflora
14155,Pinus flexilis
14325,Pinus koraiensis
14486,Pinus nigra
14647,Pinus parviflora
14818,Pinus peucea
14978,Pinus rigida
15142,Pinus strobus
15282,Pinus thunbergii
15412,Pinus wallichiana
15572,Platanus acerifolia
15712,Platanus occidentalis
15900,Populus deltoides
16066,Prunus sargentii
16354,Prunus serotina
16503,Prunus serrulata
16638,Prunus subhirtella
16805,Prunus yedoensis
16942,Pseudolarix amabilis
17095,Ptelea trifoliata
17365,Pyrus calleryana
17537,Quercus acutissima
17706,Quercus alba
17881,Quercus bicolor
18026,Quercus cerris
18162,Quercus coccinea
18304,Quercus imbricaria
18447,Quercus macrocarpa
18611,Quercus palustris
18746,Quercus phellos
18881,Quercus robur
19024,Quercus rubra
19095,Quercus shumardii
19253,Quercus velutina
19425,Robinia pseudo-acacia
19570,Salix babylonica
19741,Salix nigra
19938,Sassafras albidum
20070,Stewartia pseudocamellia
20235,Styrax japonica
20463,Styrax obassia
20542,Syringa reticulata
20640,Taxodium distichum
20816,Tilia americana
20975,Tilia cordata
21172,Tilia europaea
21307,Tilia tomentosa
21452,Toona sinensis
21516,Tsuga canadensis
21705,Ulmus americana
21920,Ulmus glabra
22080,Ulmus parvifolia
22245,Ulmus procera
22365,Ulmus pumila
22630,Zelkova serrata
22813,Acer negundo
23042,Acer pensylvanicum
23197,Albizia julibrissin
23341,Amelanchier arborea
23472,Amelanchier laevis
23623,Betula alleghaniensis
23776,Carpinus caroliniana
23955,Carya glabra
24132,Catalpa bignonioides
24349,Celtis tenuifolia
24496,Chamaecyparis thyoides
24661,Chionanthus virginicus
24878,Crataegus pruinosa
25032,Crataegus viridis
25197,Ficus carica
25362,Gymnocladus dioicus
25510,Juglans cinerea
25727,Liriodendron tulipifera
25962,Magnolia macrophylla
26106,Magnolia tripetala
26258,Malus angustifolia
26343,Malus coronaria
26494,Malus pumila
26667,Ostrya virginiana
26876,Pinus echinata
27038,Pinus pungens
27197,Pinus resinosa
27367,Pinus sylvestris
27520,Pinus taeda
27683,Pinus virginiana
27848,Populus grandidentata
28010,Populus tremuloides
28171,Prunus pensylvanica
28321,Prunus virginiana
28624,Quercus falcata
28684,Quercus marilandica
28861,Quercus michauxii
29029,Quercus montana
29276,Quercus muehlenbergii
29502,Quercus nigra
29666,Quercus stellata
29838,Quercus virginiana
30003,Salix caroliniana
30170,Salix matsudana
30336,Staphylea trifolia
30549,Ulmus rubra
